face_number,type
0,men
7,men
9,women
13,men
14,men
17,men
20,women
22,women
25,men
27,men
28,women
30,women
31,men
32,men
35,men
36,women
39,men
42,men
57,men
83,men
87,men
92,men
93,men
94,women
96,women
98,men
102,women
103,men
108,women
109,men
121,men
122,women
123,men
124,women
127,women
129,women
130,women
131,women
132,men
133,women
135,women
154,men
160,men
164,men
166,women
167,men
169,women
178,men
184,women
190,men
191,men
193,men
197,men
198,women
199,men
201,women
203,men
204,men
205,women
213,women
224,women
